product_id,name,price,category,image_url,stock,exp_date
1,TOPVALU Tôm Thẻ PTO Đông Lạnh Size 31 - 40,195000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/VE9QVkFMVSBGUkFNRSAy/MDk0NDQyNzA=.jpg,270,2026-02-20
2,TOPVALU Cá Dứa 1 Nắng Cắt Khúc,320000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/VE9QVkFMVSBGUkFNRSAx/MDkyOTM5NTM=.jpg,884,2026-06-01
3,TOPVALU Tôm Thẻ PTO Đông Lạnh Size 21 - 25,220000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/VE9QVkFMVSBGUkFNRSAy/MDk0NDQyNjM=.jpg,115,2025-11-14
4,TOPVALU Mực Ống Cắt Khoanh Đông Lạnh,109000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/VE9QVkFMVSBGUkFNRSAy/MDk3Mzk1MzY=.jpg,987,2025-12-24
5,"Dalat Hasfarm [Hàng Đặt Trước] Bó Hoa Tươi Như Rau, Đẹp Như Hoa",379000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTUtMTAgSE9BIE5FVw==/MTA3MTUxODU=.jpg,359,2025-11-17
6,Dalat Hasfarm [Hàng Đặt Trước] Bó Hoa Nàng Rau Nhà Bếp,349000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTUtMTAgSE9BIE5FVw==/MTA3MTUxNzg=.jpg,487,2025-09-24
7,Dalat Hasfarm [Hàng Đặt Trước] Bó Rau Mẫu Đơn,249000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTUtMTAgSE9BIE5FVw==/MTA3MTUxNjE=.jpg,623,2025-12-06
8,Dalat Hasfarm [Hàng Đặt Trước] Bó Rau Thủy Tinh,150000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTUtMTAgSE9BIE5FVw==/MTA3MTUxNTQ=.jpg,204,2026-02-20
9,Dalat Hasfarm [Hàng Đặt Trước] Bó Hoa Nụ Cười Việt S,219000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTUtMTAgSE9BIE5FVw==/MDMwNDQ0MDc=.jpg,221,2025-10-14
10,Dalat Hasfarm [Hàng Đặt Trước] Chậu Hồng Môn Gói,219000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTUtMTAgSE9BIE5FVw==/MDIwNTIxMTM=.jpg,228,2025-12-26
